measurement_data;state_data;mode_probabilities;state_errors
[1.318688e+04, 1.624000e+02, 1.000000e+00, 1.318688e+04, 1.624000e+02, 1.000000e+00];[1.31761480e+04, 1.58280626e+02, 6.68997661e-01, 1.32346601e+04, 1.33786773e+02, 1.68496776e+00];[0.50025376, 0.49974624];[10.73201375, 4.11937444, 0.33100234, 47.78010844, 28.6132273, 0.68496776]
[1.3203125e+04, 1.6250000e+02, 1.0000000e+00, 1.3203125e+04, 1.6250000e+02, 1.0000000e+00];[1.31997035e+04, 1.60930834e+02, -2.93944706e-01, 1.32572349e+04, 1.38510386e+02, 5.32063248e-01];[0.50022839, 0.49977161];[3.42152304, 1.56916642, 1.29394471, 54.10989704, 23.98961391, 0.46793675]
[1.321938e+04, 1.626000e+02, 1.000000e+00, 1.321938e+04, 1.626000e+02, 1.000000e+00];[1.32250176e+04, 1.62941192e+02, -7.37454423e-01, 1.32818315e+04, 1.46371593e+02, -9.87228648e-01];[0.50020555, 0.49979445];[5.63761334, 0.34119163, 1.73745442, 62.45151025, 16.22840712, 1.98722865]
[1.3235645e+04, 1.6270000e+02, 1.0000000e+00, 1.3235645e+04, 1.6270000e+02, 1.0000000e+00];[1.32586867e+04, 1.61432289e+02, -2.14630919e+00, 1.33080661e+04, 1.44316646e+02, -3.32574229e-01];[0.50018499, 0.49981501];[23.04174575, 1.26771087, 3.14630919, 72.42114936, 18.38335445, 1.33257423]
[1.325192e+04, 1.628000e+02, 1.000000e+00, 1.325192e+04, 1.628000e+02, 1.000000e+00];[1.32934432e+04, 1.55791471e+02, -3.48269176e+00, 1.33311687e+04, 1.34895716e+02, 4.15019709e+00];[0.50016649, 0.49983351];[41.52315847, 7.00852921, 4.48269176, 79.24870709, 27.90428373, 3.15019709]
[1.3268205e+04, 1.6290000e+02, 1.0000000e+00, 1.3268205e+04, 1.6290000e+02, 1.0000000e+00];[1.33261341e+04, 1.46444732e+02, -3.35142143e+00, 1.33492827e+04, 1.23923047e+02, 1.56209218e+01];[0.50014985, 0.49985015];[57.92906203, 16.4552676, 4.35142143, 81.07768613, 38.97695327, 14.62092181]
[1.32845e+04, 1.63000e+02, 1.00000e+00, 1.32845e+04, 1.63000e+02, 1.00000e+00];[1.33563154e+04, 1.31999315e+02, 9.64202660e-01, 1.33597769e+04, 1.14465404e+02, 4.01861849e+01];[0.50013486, 0.49986514];[7.18153789e+01, 3.10006851e+01, 3.57973396e-02, 7.52769213e+01, 4.85345956e+01, 3.91861849e+01]
[1.3300805e+04, 1.6310000e+02, 1.0000000e+00, 1.3300805e+04, 1.6310000e+02, 1.0000000e+00];[1.33811502e+04, 1.17023756e+02, 1.13388144e+01, 1.33657562e+04, 1.17867140e+02, 6.23059901e+01];[0.50012137, 0.49987863];[80.34519125, 46.07624374, 10.33881437, 64.95124439, 45.23286028, 61.30599011]
[1.331712e+04, 1.632000e+02, 1.000000e+00, 1.331712e+04, 1.632000e+02, 1.000000e+00];[13400.72062376, 104.54040344, 18.64655172, 13372.69956978, 138.60881101, 55.03490764];[0.50010924, 0.49989076];[83.60062376, 58.65959656, 17.64655172, 55.57956978, 24.59118899, 54.03490764]
[1.3333445e+04, 1.6330000e+02, 1.0000000e+00, 1.3333445e+04, 1.6330000e+02, 1.0000000e+00];[13416.99088606, 104.14399375, 20.44957726, 13394.21245727, 145.57940014, 28.62048472];[0.50009831, 0.49990169];[83.54588606, 59.15600625, 19.44957726, 60.76745727, 17.72059986, 27.62048472]
[1.334978e+04, 1.634000e+02, 1.000000e+00, 1.334978e+04, 1.634000e+02, 1.000000e+00];[13432.52256311, 105.42557375, 23.00253905, 13415.79829008, 145.50328177, 15.1770173];[0.50008848, 0.49991152];[82.74256311, 57.97442625, 22.00253905, 66.01829008, 17.89671823, 14.1770173]
[1.3366125e+04, 1.6350000e+02, 1.0000000e+00, 1.3366125e+04, 1.6350000e+02, 1.0000000e+00];[1.34479524e+04, 1.08366248e+02, 2.50693385e+01, 1.34369174e+04, 1.40339618e+02, 9.49992170e+00];[0.50007963, 0.49992037];[81.82741915, 55.13375243, 24.06933846, 70.79244696, 23.1603819, 8.4999217]
[1.338248e+04, 1.636000e+02, 1.000000e+00, 1.338248e+04, 1.636000e+02, 1.000000e+00];[1.34635864e+04, 1.10547475e+02, 2.43483336e+01, 1.34565102e+04, 1.34202107e+02, 7.76451292e+00];[0.50007167, 0.49992833];[81.10644124, 53.05252523, 23.34833357, 74.03023836, 29.39789337, 6.76451292]
[1.3398845e+04, 1.6370000e+02, 1.0000000e+00, 1.3398845e+04, 1.6370000e+02, 1.0000000e+00];[1.34785011e+04, 1.09758394e+02, 2.19630155e+01, 1.34742405e+04, 1.28675273e+02, 8.26187954e+00];[0.5000645, 0.4999355];[79.65613328, 53.94160614, 20.96301549, 75.3955287, 35.02472719, 7.26187954]
[1.3448e+04, 1.6400e+02, 1.0000e+00, 1.3448e+04, 1.6400e+02, 1.0000e+00];[1.35034549e+04, 1.19972984e+02, 2.40333415e+01, 1.35015597e+04, 1.30696816e+02, 1.16507771e+01];[0.50005805, 0.49994195];[55.4549145, 44.02701567, 23.03334154, 53.55973309, 33.30318375, 10.65077711]
[1.3464405e+04, 1.6410000e+02, 1.0000000e+00, 1.3464405e+04, 1.6410000e+02, 1.0000000e+00];[13525.25709584, 131.21469196, 27.61654422, 13524.90658522, 134.00054432, 15.23929455];[0.50005225, 0.49994775];[60.85209584, 32.88530804, 26.61654422, 60.50158522, 30.09945568, 14.23929455]
