measurement_data;state_data;mode_probabilities;state_errors
[10.125, 4.5, 1., 10.125, 4.5, 1.];[10.12496777, 4.49997894, 0.99985087, 10.12496777, 4.49997894, 0.99985087];[9.99851116e-01, 1.48883755e-04];[3.22253013e-05, 2.10623780e-05, 1.49132680e-04, 3.22253013e-05, 2.10623780e-05, 1.49132680e-04]
[10.58, 4.6, 1., 10.58, 4.6, 1.];[10.57997023, 4.59998077, 0.99985075, 10.57997023, 4.59998077, 0.99985075];[9.99851120e-01, 1.48880427e-04];[2.97666922e-05, 1.92325886e-05, 1.49245136e-04, 2.97666922e-05, 1.92325886e-05, 1.49245136e-04]
[11.045, 4.7, 1., 11.045, 4.7, 1.];[11.04497254, 4.69998216, 0.99985067, 11.04497254, 4.69998216, 0.99985067];[9.99851124e-01, 1.48875596e-04];[2.74562682e-05, 1.78406591e-05, 1.49329569e-04, 2.74562682e-05, 1.78406591e-05, 1.49329569e-04]
[11.52, 4.8, 1., 11.52, 4.8, 1.];[11.5199747, 4.79998319, 0.99985061, 11.5199747, 4.79998319, 0.99985061];[9.99851128e-01, 1.48871616e-04];[2.52969059e-05, 1.68061137e-05, 1.49393115e-04, 2.52969059e-05, 1.68061137e-05, 1.49393115e-04]
[12.005, 4.9, 1., 12.005, 4.9, 1.];[12.00497671, 4.89998394, 0.99985056, 12.00497671, 4.89998394, 0.99985056];[9.99851132e-01, 1.48868437e-04];[2.32883238e-05, 1.60614701e-05, 1.49439761e-04, 2.32883238e-05, 1.60614701e-05, 1.49439761e-04]
[12.5, 5., 1., 12.5, 5., 1.];[12.49997857, 4.99998445, 0.99985053, 12.49997857, 4.99998445, 0.99985053];[9.99851134e-01, 1.48865898e-04];[2.14278397e-05, 1.55504277e-05, 1.49472714e-04, 2.14278397e-05, 1.55504277e-05, 1.49472714e-04]
[13.005, 5.1, 1., 13.005, 5.1, 1.];[13.00498029, 5.09998477, 0.99985051, 13.00498029, 5.09998477, 0.99985051];[9.99851136e-01, 1.48863980e-04];[1.97109821e-05, 1.52261686e-05, 1.49494759e-04, 1.97109821e-05, 1.52261686e-05, 1.49494759e-04]
[13.52, 5.2, 1., 13.52, 5.2, 1.];[13.51998187, 5.19998495, 0.99985049, 13.51998187, 5.19998495, 0.99985049];[9.99851138e-01, 1.48862370e-04];[1.81319830e-05, 1.50498459e-05, 1.49507915e-04, 1.81319830e-05, 1.50498459e-05, 1.49507915e-04]
[14.045, 5.3, 1., 14.045, 5.3, 1.];[14.04498332, 5.29998501, 0.99985049, 14.04498332, 5.29998501, 0.99985049];[9.99851139e-01, 1.48861089e-04];[1.66841802e-05, 1.49893894e-05, 1.49514135e-04, 1.66841802e-05, 1.49893894e-05, 1.49514135e-04]
[14.58, 5.4, 1., 14.58, 5.4, 1.];[14.57998464, 5.39998498, 0.99985049, 14.57998464, 5.39998498, 0.99985049];[9.99851140e-01, 1.48860068e-04];[1.53603353e-05, 1.50183988e-05, 1.49514944e-04, 1.53603353e-05, 1.50183988e-05, 1.49514944e-04]
