measurement_data;state_data;mode_probabilities;state_errors
[105.8, 1., 0., 105.8, 1., 0.];[106.37692625, 0.60489246, 0.13921357, 106.37692625, 0.60489246, 0.13921357];[1.10133018e-08, 9.99999989e-01];[0.57692625, 0.39510754, 0.13921357, 0.57692625, 0.39510754, 0.13921357]
[105.9, 1., 0., 105.9, 1., 0.];[106.49495193, 0.60871789, 0.13528757, 106.49495193, 0.60871789, 0.13528757];[1.09924075e-08, 9.99999989e-01];[0.59495193, 0.39128211, 0.13528757, 0.59495193, 0.39128211, 0.13528757]
[106., 1., 0., 106., 1., 0.];[106.60977136, 0.60829445, 0.13123501, 106.60977136, 0.60829445, 0.13123501];[1.09744581e-08, 9.99999989e-01];[0.60977136, 0.39170555, 0.13123501, 0.60977136, 0.39170555, 0.13123501]
[106.1, 1., 0., 106.1, 1., 0.];[106.72102935, 0.6050418, 0.12832758, 106.72102935, 0.6050418, 0.12832758];[1.09618867e-08, 9.99999989e-01];[0.62102935, 0.3949582, 0.12832758, 0.62102935, 0.3949582, 0.12832758]
[106.2, 1., 0., 106.2, 1., 0.];[106.82886682, 0.60037224, 0.12694846, 106.82886682, 0.60037224, 0.12694846];[1.09548113e-08, 9.99999989e-01];[0.62886682, 0.39962776, 0.12694846, 0.62886682, 0.39962776, 0.12694846]
[106.3, 1., 0., 106.3, 1., 0.];[106.93376321, 0.59542844, 0.12695508, 106.93376321, 0.59542844, 0.12695508];[1.09521222e-08, 9.99999989e-01];[0.63376321, 0.40457156, 0.12695508, 0.63376321, 0.40457156, 0.12695508]
[106.4, 1., 0., 106.4, 1., 0.];[107.03636779, 0.59098497, 0.12795785, 107.03636779, 0.59098497, 0.12795785];[1.09523770e-08, 9.99999989e-01];[0.63636779, 0.40901503, 0.12795785, 0.63636779, 0.40901503, 0.12795785]
[106.5, 1., 0., 106.5, 1., 0.];[107.13735844, 0.58745773, 0.12951098, 107.13735844, 0.58745773, 0.12951098];[1.09542784e-08, 9.99999989e-01];[0.63735844, 0.41254227, 0.12951098, 0.63735844, 0.41254227, 0.12951098]
[106.6, 1., 0., 106.6, 1., 0.];[107.23734379, 0.58497264, 0.13122506, 107.23734379, 0.58497264, 0.13122506];[1.09568398e-08, 9.99999989e-01];[0.63734379, 0.41502736, 0.13122506, 0.63734379, 0.41502736, 0.13122506]
[106.7, 1., 0., 106.7, 1., 0.];[107.33680972, 0.58345633, 0.13281849, 107.33680972, 0.58345633, 0.13281849];[1.09593967e-08, 9.99999989e-01];[0.63680972, 0.41654367, 0.13281849, 0.63680972, 0.41654367, 0.13281849]
[106.9, 1., 0., 106.9, 1., 0.];[107.45797241, 0.59646506, 0.13895872, 107.45797241, 0.59646506, 0.13895872];[1.10296069e-08, 9.99999989e-01];[0.55797241, 0.40353494, 0.13895872, 0.55797241, 0.40353494, 0.13895872]
[107.1, 1., 0., 107.1, 1., 0.];[107.59991739, 0.61857717, 0.14299754, 107.59991739, 0.61857717, 0.14299754];[1.10706196e-08, 9.99999989e-01];[0.49991739, 0.38142283, 0.14299754, 0.49991739, 0.38142283, 0.14299754]
[107.2, 1., 0., 107.2, 1., 0.];[107.73836696, 0.63057519, 0.13773345, 107.73836696, 0.63057519, 0.13773345];[1.10376473e-08, 9.99999989e-01];[0.53836696, 0.36942481, 0.13773345, 0.53836696, 0.36942481, 0.13773345]
[107.3, 1., 0., 107.3, 1., 0.];[107.87109136, 0.63328603, 0.12989287, 107.87109136, 0.63328603, 0.12989287];[1.10008355e-08, 9.99999989e-01];[0.57109136, 0.36671397, 0.12989287, 0.57109136, 0.36671397, 0.12989287]
[107.6, 1., 0., 107.6, 1., 0.];[108.04065044, 0.65661175, 0.13285413, 108.04065044, 0.65661175, 0.13285413];[1.10912396e-08, 9.99999989e-01];[0.44065044, 0.34338825, 0.13285413, 0.44065044, 0.34338825, 0.13285413]
[107.8, 1., 0., 107.8, 1., 0.];[108.22278708, 0.67924486, 0.13017377, 108.22278708, 0.67924486, 0.13017377];[1.10983727e-08, 9.99999989e-01];[0.42278708, 0.32075514, 0.13017377, 0.42278708, 0.32075514, 0.13017377]
[107.9, 1., 0., 107.9, 1., 0.];[108.39240931, 0.68463666, 0.11902862, 108.39240931, 0.68463666, 0.11902862];[1.10414648e-08, 9.99999989e-01];[0.49240931, 0.31536334, 0.11902862, 0.49240931, 0.31536334, 0.11902862]
[108., 1., 0., 108., 1., 0.];[1.08547544e+02, 6.76727278e-01, 1.07999195e-01, 1.08547544e+02, 6.76727278e-01, 1.07999195e-01];[1.09851102e-08, 9.99999989e-01];[0.5475437, 0.32327272, 0.10799919, 0.5475437, 0.32327272, 0.10799919]
[108.2, 1., 0., 108.2, 1., 0.];[1.08709949e+02, 6.74426467e-01, 1.05892105e-01, 1.08709949e+02, 6.74426467e-01, 1.05892105e-01];[1.10169235e-08, 9.99999989e-01];[0.50994856, 0.32557353, 0.10589211, 0.50994856, 0.32557353, 0.10589211]
[108.3, 1., 0., 108.3, 1., 0.];[1.08858025e+02, 6.63631428e-01, 1.02257224e-01, 1.08858025e+02, 6.63631428e-01, 1.02257224e-01];[1.09761192e-08, 9.99999989e-01];[0.55802503, 0.33636857, 0.10225722, 0.55802503, 0.33636857, 0.10225722]
[108.4, 1., 0., 108.4, 1., 0.];[1.08992727e+02, 6.47987436e-01, 1.00571706e-01, 1.08992727e+02, 6.47987436e-01, 1.00571706e-01];[1.09487679e-08, 9.99999989e-01];[0.59272685, 0.35201256, 0.10057171, 0.59272685, 0.35201256, 0.10057171]
[108.5, 1., 0., 108.5, 1., 0.];[1.09115885e+02, 6.30911174e-01, 1.01849379e-01, 1.09115885e+02, 6.30911174e-01, 1.01849379e-01];[1.09353418e-08, 9.99999989e-01];[0.61588494, 0.36908883, 0.10184938, 0.61588494, 0.36908883, 0.10184938]
[108.6, 1., 0., 108.6, 1., 0.];[1.09229828e+02, 6.14981437e-01, 1.05722502e-01, 1.09229828e+02, 6.14981437e-01, 1.05722502e-01];[1.09322536e-08, 9.99999989e-01];[0.6298279, 0.38501856, 0.1057225, 0.6298279, 0.38501856, 0.1057225]
[108.7, 1., 0., 108.7, 1., 0.];[109.33699254, 0.60176481, 0.11122557, 109.33699254, 0.60176481, 0.11122557];[1.09353869e-08, 9.99999989e-01];[0.63699254, 0.39823519, 0.11122557, 0.63699254, 0.39823519, 0.11122557]
[108.8, 1., 0., 108.8, 1., 0.];[109.43961835, 0.59190896, 0.11730201, 109.43961835, 0.59190896, 0.11730201];[1.09415293e-08, 9.99999989e-01];[0.63961835, 0.40809104, 0.11730201, 0.63961835, 0.40809104, 0.11730201]
[108.9, 1., 0., 108.9, 1., 0.];[109.53955875, 0.58536744, 0.1230828, 109.53955875, 0.58536744, 0.1230828];[1.09485277e-08, 9.99999989e-01];[0.63955875, 0.41463256, 0.1230828, 0.63955875, 0.41463256, 0.1230828]
[109.1, 1., 0., 109.1, 1., 0.];[109.66007376, 0.59539966, 0.13282965, 109.66007376, 0.59539966, 0.13282965];[1.10227291e-08, 9.99999989e-01];[0.56007376, 0.40460034, 0.13282965, 0.56007376, 0.40460034, 0.13282965]
[109.4, 1., 0., 109.4, 1., 0.];[109.82283917, 0.62986571, 0.1445203, 109.82283917, 0.62986571, 0.1445203];[1.11096003e-08, 9.99999989e-01];[0.42283917, 0.37013429, 0.1445203, 0.42283917, 0.37013429, 0.1445203]
[109.5, 1., 0., 109.5, 1., 0.];[109.98101538, 0.65011535, 0.13949983, 109.98101538, 0.65011535, 0.13949983];[1.10779077e-08, 9.99999989e-01];[0.48101538, 0.34988465, 0.13949983, 0.48101538, 0.34988465, 0.13949983]
