measurement_data;state_data;mode_probabilities;state_errors
[1.03214046, 0.00561015, -0.00857438, 0.944806, 0.15486377, 0.00442906];[1.49520804, -0.01914034, -0.00365974, 0.97093654, 0.15370522, 0.01182336];[7.27224425e-09, 9.99999993e-01];[0.46306758, 0.02475049, 0.00491464, 0.02613054, 0.00115855, 0.0073943]
[9.6254947e-01, -1.9579470e-02, 2.3782000e-04, 9.5189043e-01, 1.7711292e-01, 1.8402100e-03];[1.45241797, -0.04362169, -0.00774312, 0.98455367, 0.15437059, 0.01080532];[7.27145224e-09, 9.99999993e-01];[0.4898685, 0.02404222, 0.00798094, 0.03266324, 0.02274233, 0.00896511]
[1.38875322e+00, -3.14427200e-02, -9.04760000e-04, 4.21022400e-01, 1.16006130e-01, 4.55158000e-03];[1.44397758e+00, -4.57657248e-02, -5.50208908e-03, 9.53914931e-01, 1.25635251e-01, 4.24540577e-04];[7.26838772e-09, 9.99999993e-01];[0.05522436, 0.014323, 0.00459733, 0.53289253, 0.00962912, 0.00412704]
[1.18411218, 0.01310681, -0.00177877, 1.39292002, 0.15142581, -0.00390815];[1.42205462, -0.05342931, -0.0020709, 1.00029761, 0.14687959, 0.0055311];[7.27255236e-09, 9.99999993e-01];[2.37942436e-01, 6.65361237e-02, 2.92132434e-04, 3.92622406e-01, 4.54622150e-03, 9.43925329e-03]
[1.58226105e+00, -2.70559300e-02, -1.38509000e-03, 6.52803440e-01, 1.63087760e-01, -5.10940000e-04];[1.43048194, -0.04404718, 0.00188646, 0.98773349, 0.13162851, 0.00183874];[7.27461436e-09, 9.99999993e-01];[0.15177911, 0.01699125, 0.00327155, 0.33493005, 0.03145925, 0.00234968]
[0.9765433, -0.02947562, -0.0035442, 0.91386374, 0.10777312, 0.00130365];[1.39204162e+00, -6.37268049e-02, -2.59050686e-03, 9.93267897e-01, 1.26019682e-01, -1.12031793e-03];[7.27331130e-09, 9.99999993e-01];[0.41549832, 0.03425118, 0.00095369, 0.07940416, 0.01824656, 0.00242397]
[1.20525873e+00, -8.41610000e-04, -1.24737000e-03, 4.82565340e-01, 1.76396740e-01, -2.56609000e-03];[1.37424386e+00, -6.75316276e-02, 1.26071383e-03, 9.67567019e-01, 1.05544449e-01, -2.29931429e-03];[7.27224091e-09, 9.99999993e-01];[1.68985125e-01, 6.66900176e-02, 2.50808383e-03, 4.85001679e-01, 7.08522905e-02, 2.66775705e-04]
[1.21077778e+00, -1.51122000e-02, -5.07295000e-03, 5.89986390e-01, 1.21196340e-01, 6.26090000e-04];[1.35746479, -0.07110669, 0.00249293, 0.94887612, 0.08885298, -0.003948];[7.27506646e-09, 9.99999993e-01];[0.14668701, 0.05599449, 0.00756588, 0.35888973, 0.03234336, 0.00457409]
[1.79568095e+00, 5.22222600e-02, -1.42166000e-03, 1.07357510e+00, 9.24412500e-02, 8.82500000e-04];[1.38942062e+00, -4.15986244e-02, 1.59551488e-02, 9.66820722e-01, 9.43415440e-02, -1.28723455e-03];[7.26976300e-09, 9.99999993e-01];[0.40626033, 0.09382088, 0.01737681, 0.10675438, 0.00190029, 0.00216973]
[1.00888853, -0.01587597, -0.00471607, 0.68708597, 0.17182801, -0.00258314];[1.35727042, -0.05668076, 0.0091201, 0.95703051, 0.08659101, 0.00205589];[7.27489486e-09, 9.99999993e-01];[0.34838189, 0.04080479, 0.01383617, 0.26994454, 0.085237, 0.00463903]
[1.38775577, 0.02297923, -0.00254596, 1.00742598, 0.12697228, -0.00284623];[1.35747037, -0.04898698, 0.01303538, 0.97046573, 0.09138571, 0.00454203];[7.27910174e-09, 9.99999993e-01];[0.0302854, 0.07196621, 0.01558134, 0.03696025, 0.03558657, 0.00738826]
[1.1732926, -0.0151379, -0.00789246, 1.06765022, 0.09769751, 0.00182549];[1.34005908, -0.05471699, 0.00871561, 0.98661971, 0.09615168, 0.00517978];[7.27932829e-09, 9.99999993e-01];[0.16676648, 0.03957909, 0.01660807, 0.08103051, 0.00154583, 0.00335429]
[1.50938167, -0.0325675, -0.00769102, 1.16208528, 0.09467768, -0.00298689];[1.34886185, -0.04520887, 0.00799006, 1.00891742, 0.10365813, 0.00452862];[7.27855569e-09, 9.99999993e-01];[0.16051982, 0.01264137, 0.01568108, 0.15316786, 0.00898045, 0.00751551]
[0.86798711, 0.02380663, -0.00743429, 0.74848377, 0.10325929, 0.00288272];[1.31036242, -0.06212473, 0.00518465, 0.99843763, 0.09153308, 0.00145394];[7.27248022e-09, 9.99999993e-01];[0.44237531, 0.08593136, 0.01261894, 0.24995386, 0.01172621, 0.00142878]
[1.48696784e+00, 1.77785200e-02, -6.56178000e-03, 5.42356350e-01, 9.19084800e-02, 9.36850000e-04];[1.32130503, -0.04805581, 0.0105339, 0.97182167, 0.07032853, -0.00310217];[7.27174423e-09, 9.99999993e-01];[0.16566281, 0.06583433, 0.01709568, 0.42946532, 0.02157995, 0.00403902]
[1.69038064e+00, -3.03895900e-02, -1.33223000e-03, 1.06636203e+00, 1.59451560e-01, -3.99840000e-04];[1.34592329, -0.02931779, 0.01247435, 0.98906932, 0.08077047, 0.00583232];[7.27454074e-09, 9.99999993e-01];[0.34445735, 0.0010718, 0.01380658, 0.07729271, 0.07868109, 0.00623216]
[1.3418914, 0.02894244, -0.00607738, 1.06151957, 0.10472845, -0.00513677];[1.34514349, -0.02499502, 0.01248713, 1.00300926, 0.08539387, 0.00560435];[7.28031442e-09, 9.99999993e-01];[0.00325209, 0.05393746, 0.01856451, 0.05851031, 0.01933458, 0.01074112]
[1.03550778e+00, 4.24758000e-03, 1.25217000e-03, 1.48652012e+00, 9.55954100e-02, 1.24397000e-03];[1.32014384, -0.03642145, 0.00902546, 1.0484707, 0.10819517, 0.00983536];[7.27039724e-09, 9.99999993e-01];[0.28463606, 0.04066903, 0.00777329, 0.43804942, 0.01259976, 0.00859139]
[1.80779154e+00, -2.33775200e-02, -6.80080000e-04, 9.98430280e-01, 9.25277500e-02, -1.19742000e-03];[1.35477828, -0.012654, 0.01226472, 1.0539768, 0.1045248, 0.00507682];[7.27257373e-09, 9.99999993e-01];[0.45301326, 0.01072352, 0.0129448, 0.05554652, 0.01199705, 0.00627424]
