measurement_data;state_data;mode_probabilities;state_errors
[4.56487409e+00, 1.01147315e+00, 8.05060000e-03, 4.37536455e+00, 1.00999820e+00, 3.92374000e-03];[4.61162947, 1.00057807, 0.01076548, 4.60497872, 1.02046477, -0.00588012];[7.27727514e-09, 9.99999993e-01];[0.04675538, 0.01089508, 0.00271488, 0.22961417, 0.01046657, 0.00980386]
[4.56524784e+00, 1.02786532e+00, 3.79467000e-03, 5.17981442e+00, 1.09145156e+00, 5.94158000e-03];[4.70146662, 0.99646853, 0.00977213, 4.74622455, 1.04751037, 0.00755956];[7.27005746e-09, 9.99999993e-01];[0.13621878, 0.03139679, 0.00597746, 0.43358987, 0.04394119, 0.00161798]
[5.05915540e+00, 1.07788156e+00, 5.80227000e-03, 4.46311557e+00, 1.07822583e+00, 9.55390000e-04];[4.82415232e+00, 1.01497362e+00, 1.78937364e-02, 4.82230448e+00, 1.03230760e+00, 4.66544606e-03];[7.27182778e-09, 9.99999993e-01];[0.23500308, 0.06290794, 0.01209147, 0.35918891, 0.04591823, 0.00371006]
[5.38178315, 1.01476443, 0.00659593, 5.31154907, 1.05515112, 0.00907713];[4.96073434, 1.03687776, 0.0192181, 4.95615277, 1.0523759, 0.01132298];[7.26895551e-09, 9.99999993e-01];[0.42104881, 0.02211333, 0.01262217, 0.3553963, 0.00277522, 0.00224585]
[5.39499461e+00, 1.01584077e+00, 2.16260000e-04, 4.91604347e+00, 1.05360111e+00, 8.85716000e-03];[5.08900738, 1.05116994, 0.01565424, 5.05025418, 1.0467055, 0.00931739];[7.27720700e-09, 9.99999993e-01];[0.30598723, 0.03532917, 0.01543798, 0.13421071, 0.00689561, 0.00046023]
[4.93469915, 1.02943935, 0.00839938, 4.87268891, 1.07486911, 0.00568756];[5.17330597, 1.03870209, 0.00940676, 5.13430324, 1.03648905, 0.00795887];[7.27500641e-09, 9.99999993e-01];[0.23860682, 0.00926274, 0.00100738, 0.26161433, 0.03838006, 0.00227131]
[5.26610138e+00, 1.09989486e+00, 5.83961000e-03, 5.52637006e+00, 1.05286177e+00, 5.07961000e-03];[5.27871042, 1.04336429, 0.01339012, 5.26078154, 1.05149102, 0.01127387];[7.27618651e-09, 9.99999993e-01];[0.01260904, 0.05653057, 0.00755051, 0.26558852, 0.00137075, 0.00619426]
[5.05040628e+00, 1.01700820e+00, 4.31340000e-03, 5.28941171e+00, 1.00498199e+00, 1.08146000e-03];[5.35641204e+00, 1.02688399e+00, 5.61669142e-03, 5.35821013e+00, 1.04501275e+00, 4.01087036e-03];[7.27542187e-09, 9.99999993e-01];[0.30600576, 0.00987579, 0.00130329, 0.06879842, 0.04003076, 0.00292941]
[4.92894511e+00, 1.09910715e+00, 1.59823000e-03, 5.72647726e+00, 1.09299835e+00, 9.41810000e-03];[5.42112766e+00, 1.00817607e+00, 5.47439952e-03, 5.48489335e+00, 1.06132386e+00, 1.18443630e-02];[7.26966422e-09, 9.99999993e-01];[0.49218255, 0.09093108, 0.00387617, 0.24158391, 0.03167449, 0.00242626]
[5.33931963e+00, 1.04732009e+00, 5.95286000e-03, 5.80889742e+00, 1.09923471e+00, 1.87588000e-03];[5.5094295, 1.00321588, 0.00705036, 5.60924943, 1.07462759, 0.01444213];[7.27685198e-09, 9.99999993e-01];[0.17010987, 0.04410421, 0.0010975, 0.19964799, 0.02460712, 0.01256625]
[5.22267652, 1.09203746, 0.00753778, 5.50049998, 1.09983064, 0.00853743];[5.58344943, 0.99268235, 0.01078044, 5.70105944, 1.06756195, 0.01284907];[7.27472029e-09, 9.99999993e-01];[0.36077291, 0.09935511, 0.00324266, 0.20055946, 0.03226869, 0.00431164]
[5.47381634e+00, 1.02022004e+00, 4.19241000e-03, 5.38741207e+00, 1.03544957e+00, 5.04637000e-03];[5.66771475e+00, 9.85746000e-01, 9.30801899e-03, 5.77421322e+00, 1.04665601e+00, 4.08693245e-03];[7.27233241e-09, 9.99999993e-01];[0.19389841, 0.03447404, 0.00511561, 0.38680115, 0.01120644, 0.00095944]
[6.13651080e+00, 1.06851056e+00, 9.01160000e-03, 5.32552113e+00, 1.05323418e+00, 1.51932000e-03];[5.79800360e+00, 1.00966048e+00, 1.95520575e-02, 5.83656828e+00, 1.02199204e+00, -1.33822888e-03];[7.26414622e-09, 9.99999993e-01];[0.3385072, 0.05885008, 0.01054046, 0.51104715, 0.03124214, 0.00285755]
[6.17598790e+00, 1.08023737e+00, 5.95332000e-03, 5.84390935e+00, 1.09673593e+00, 5.07732000e-03];[5.92301204e+00, 1.02858439e+00, 2.44386536e-02, 5.93440473e+00, 1.02338886e+00, 5.58866157e-03];[7.27593938e-09, 9.99999993e-01];[0.25297586, 0.05165298, 0.01848533, 0.09049538, 0.07334707, 0.00051134]
[6.09161186e+00, 1.00375084e+00, 3.69964000e-03, 6.24830060e+00, 1.09394255e+00, 6.16345000e-03];[6.02992234, 1.03083647, 0.01754776, 6.05577561, 1.03883403, 0.01355704];[7.27784968e-09, 9.99999993e-01];[0.06168952, 0.02708563, 0.01384812, 0.19252499, 0.05510852, 0.00739359]
