measurement_data;state_data;mode_probabilities;state_errors
[0.93589682, -0.03522742, -0.00935897, 0.35227423, 0.09358968, -0.00352274];[0.93792675, -0.03582843, -0.00950001, 0.3442566, 0.09602108, -0.00719637];[6.35020936e-09, 9.99999994e-01];[0.00202993, 0.00060101, 0.00014104, 0.00801763, 0.0024314, 0.00367363]
[0.92106099, -0.03894183, -0.00921061, 0.38941834, 0.0921061, -0.00389418];[0.93308654, -0.03797995, -0.01042559, 0.35663527, 0.0971167, -0.00688824];[6.35012762e-09, 9.99999994e-01];[0.01202555, 0.00096188, 0.00121498, 0.03278307, 0.0050106, 0.00299406]
[0.91712082, -0.03986093, -0.00917121, 0.39860933, 0.09171208, -0.00398609];[0.92818589, -0.03991105, -0.0108718, 0.36877412, 0.0977724, -0.0071311];[6.35011476e-09, 9.99999994e-01];[1.10650672e-02, 5.01190518e-05, 1.70059127e-03, 2.98352070e-02, 6.06032457e-03, 3.14501330e-03]
[0.91308894, -0.04077605, -0.00913089, 0.40776045, 0.09130889, -0.0040776];[0.92323126, -0.04163143, -0.01095379, 0.3806714, 0.09804014, -0.00773418];[6.35009536e-09, 9.99999994e-01];[0.01014232, 0.00085538, 0.0018229, 0.02708905, 0.00673125, 0.00365658]
[0.90896575, -0.04168708, -0.00908966, 0.4168708, 0.09089657, -0.00416871];[0.91822833, -0.04315668, -0.01077123, 0.39232738, 0.09797512, -0.00854315];[6.35007309e-09, 9.99999994e-01];[0.00926258, 0.0014696, 0.00168157, 0.02454342, 0.00707855, 0.00437444]
[0.90475166, -0.04259395, -0.00904752, 0.42593947, 0.09047517, -0.00425939];[0.91318177, -0.0445062, -0.0104084, 0.40374441, 0.09763277, -0.00943699];[6.35005131e-09, 9.99999994e-01];[0.00843011, 0.00191225, 0.00136088, 0.02219506, 0.0071576, 0.0051776]
[0.9004471, -0.04349655, -0.00900447, 0.43496553, 0.09004471, -0.00434966];[0.90809517, -0.04570152, -0.00993479, 0.41492679, 0.09706651, -0.01032431];[6.35003207e-09, 9.99999994e-01];[0.00764807, 0.00220497, 0.00093032, 0.02003874, 0.0070218, 0.00597465]
[0.8960525, -0.04439481, -0.00896052, 0.44394811, 0.08960525, -0.00443948];[0.90297103, -0.04676496, -0.00940617, 0.42588055, 0.096326, -0.01113941];[6.35001660e-09, 9.99999994e-01];[0.00691853, 0.00237015, 0.00044565, 0.01806756, 0.00672075, 0.00669993]
[0.89156829, -0.04528863, -0.00891568, 0.45288629, 0.08915683, -0.00452886];[0.89781075, -0.04771856, -0.00886581, 0.4366132, 0.09545612, -0.0118384];[6.35000526e-09, 9.99999994e-01];[6.24245505e-03, 2.42992678e-03, 4.98701244e-05, 1.62730899e-02, 6.29929358e-03, 7.30953719e-03]
[0.88699492, -0.04617792, -0.00886995, 0.46177918, 0.08869949, -0.00461779];[0.89261477, -0.04858324, -0.00834598, 0.44713341, 0.09449628, -0.01239534];[6.34999766e-09, 9.99999994e-01];[0.00561985, 0.00240532, 0.00052397, 0.01464577, 0.00579679, 0.00777755]
