measurement_data;state_data;mode_probabilities;state_errors
[0.87758256, -0.04794255, 0.47942554, 0.08775826, -0.00877583, -0.00479426];[0.88157666, -0.04130493, 0.48058249, 0.09089614, -0.00997741, -0.00349483];[0.77251668, 0.11374166, 0.11374166];[0.0039941, 0.00663762, 0.00115695, 0.00313788, 0.00120158, 0.00129943]
[0.87274451, -0.04881772, 0.48817725, 0.08727445, -0.00872745, -0.00488177];[0.87674363, -0.04222713, 0.48937023, 0.09047922, -0.00996396, -0.00357755];[0.77193034, 0.11403483, 0.11403483];[0.00399912, 0.00659059, 0.00119298, 0.00320477, 0.00123651, 0.00130422]
[0.86781918, -0.04968801, 0.49688014, 0.08678192, -0.00867819, -0.0049688];[0.87182079, -0.0431455, 0.49810897, 0.09005295, -0.00995013, -0.00366059];[0.7713248, 0.1143376, 0.1143376];[0.00400161, 0.00654251, 0.00122883, 0.00327103, 0.00127194, 0.00130821]
[0.86280707, -0.05055333, 0.50553334, 0.08628071, -0.00862807, -0.00505533];[0.86680878, -0.04405983, 0.50679781, 0.08961738, -0.00993595, -0.00374395];[0.77070084, 0.11464958, 0.11464958];[0.00400171, 0.0064935, 0.00126447, 0.00333667, 0.00130788, 0.00131138]
[0.85770868, -0.0514136, 0.51413599, 0.08577087, -0.00857709, -0.00514136];[0.86170825, -0.04496993, 0.51543588, 0.08917256, -0.00992141, -0.00382759];[0.77005917, 0.11497041, 0.11497041];[0.00399957, 0.00644367, 0.00129989, 0.00340169, 0.00134432, 0.00131377]
[0.85252452, -0.05226872, 0.52268723, 0.08525245, -0.00852525, -0.00522687];[0.85651985, -0.04587565, 0.52402231, 0.08871855, -0.00990652, -0.00391149];[0.76940041, 0.11529979, 0.11529979];[0.00399533, 0.00639307, 0.00133508, 0.0034661, 0.00138127, 0.00131538]
[0.84725511, -0.05311862, 0.5311862, 0.08472551, -0.00847255, -0.00531186];[0.85124426, -0.04677684, 0.53255624, 0.0882554, -0.00989128, -0.00399564];[0.76872511, 0.11563744, 0.11563744];[0.00398915, 0.00634178, 0.00137004, 0.00352989, 0.00141873, 0.00131622]
[0.84190098, -0.0539632, 0.53963205, 0.0841901, -0.00841901, -0.00539632];[0.84588211, -0.04767333, 0.5410368, 0.08778317, -0.0098757, -0.00408001];[0.76803377, 0.11598312, 0.11598312];[0.00398113, 0.00628987, 0.00140475, 0.00359307, 0.00145669, 0.00131631]
[0.83646265, -0.05480239, 0.54802394, 0.08364626, -0.00836463, -0.00548024];[0.84043407, -0.04856502, 0.54946315, 0.08730191, -0.00985978, -0.00416458];[0.76732682, 0.11633659, 0.11633659];[0.00397142, 0.00623737, 0.00143921, 0.00365565, 0.00149515, 0.00131566]
[0.83094068, -0.0556361, 0.55636102, 0.08309407, -0.00830941, -0.00556361];[0.83490079, -0.04945176, 0.55783443, 0.08681167, -0.00984353, -0.00424933];[0.76660467, 0.11669766, 0.11669766];[0.00396011, 0.00618434, 0.00147341, 0.0037176, 0.00153412, 0.00131428]
